category	document	label	
society	"‘10부제’ 놓친 36~49세, 오늘 오후 8시부터 추가 예약 가능"	4	
society	‘가을 장마’ 금토일 비비비… “폭염 꺾이고 일교차 조심”	4	
society	‘계열사 와인 강매 의혹’ 이호진 전 태광그룹 회장 무혐의	4	
society	‘고양~양주~의정부’ 잇는 추억의 교외선’ 2024년 다시 달린다	4	
society	‘공익제보’ 교사 복직 후 창고에 대기시킨 학교…“인격권 침해”	4	
society	‘누가 다대포해수욕장서 골프공 치나’ 주장 글 논란	4	
society	‘대면예배 금지 위반’ 사랑제일교회 폐쇄 명령…교회 “집행정지 신청”	4	
society	‘독직폭행’ 정진웅 추가 징계 없을 듯…박범계 “인사조치로 갈음”	4	
society	"‘떡볶이 먹방’ 사과했지만… 이재명, 직무유기로 고발당했다"	4	
society	"‘라임 술 접대’ 중징계, 이성윤·이규원 영전…이중잣대 논란"	4	
society	"‘문화계 블랙리스트’ 출판사 10곳, 국가배상 일부 승소"	4	
society	"‘백신 자주권’ 사활 건 정부, 임상 참여자 모집부터 원스톱 지원"	4	
society	‘보험금을 내 쌈짓돈 마냥…’ 허위 청구해 억대 챙겨	4	
society	"‘북한 공작원 접선’ 연구원 ""짜맞추기 수사"" 무죄 주장"	4	
society	‘소득은 애인 명의로’ 생계급여 5000만원 부정수령 50대	4	
society	"‘수사기밀 누설 혐의’ 이태종 전 법원장, 2심도 무죄"	4	
society	‘수사외압’ 이성윤·‘월성원전’ 백운규 이번 주 첫 재판	4	
society	‘스쿨존 노상주차장 전면 금지’… 지자체 주차장 확보 비상	4	
society	‘시설 폐쇄’ 사랑제일교회 신도들 광화문광장서 예배	4	
society	"‘시설 폐쇄’ 사랑제일교회, 광화문서 온라인 예배 강행"	4	
society	"‘시설 폐쇄’ 사랑제일교회, 광화문서 온라인 예배…800명 추산"	4	
society	"‘애프터스쿨 출신’ 리지, 음주운전 사고 내달 첫 재판"	4	
society	"‘음주사고’ 애프터스쿨 리지, 내달 27일 첫 재판"	4	
society	"‘의전원 입학 취소’ 조국 딸, 고려대도 심의 절차 돌입"	4	
society	"‘의전원 입학 취소’ 조민, 고려대 입학도 취소되나"	4	
society	"‘이재용 취업제한 논란’에... 박범계, 최태원?박찬구 케이스 소환해 진화"	4	
society	"‘임금체불’ 싸이월드 대표 항소심 감형…法, 집행유예 선고"	4	
society	"‘정부 지원대상 탈락’ 인하대, “교육부 규탄” 강력 항의"	4	
society	"‘체육계 미투 1호’ 김은희, 과거 가해자 상대 손배소 승소 확정"	4	
society	‘태종대 지하벙커’ 들어가 보니 일본군 탄약고·내무반 그대로	4	
society	‘프랑스대사관 담벼락 협박전단’ 무슬림들 대법원으로…검찰 상고	4	
society	‘피고인’ 이성윤 첫 재판...“김학의 출금·수사 모두 관여 안해”	4	
society	‘한동훈 독직폭행’ 정진웅…법무부 1심 유죄 뒤에야 직무배제	4	
society	"‘핫플’ 롯데백 동탄점 직원 확진에 화성시민 ""밖에 나가기 겁나"""	4	
society	‘환경부 블랙리스트’ 피해자 극단 선택에…법원 “업무상 재해”	4	
society	"""'쉬어서 미안' 아닌 '동료가 잘하겠지' 하는 마음 필요"""	4	
society	"""'음쓰'도 자원... 부디 한 가지만 부탁드립니다"""	4	
society	"""20년 지나도, 성범죄 손해배상 시효는 장애판정일 기준"""	4	
society	"""30세 이상은 AZ백신 접종이득이 위험보다 커""…고령층 부스터샷 검토"	4	
society	"""9월부터 일본·페루 등 람다변이 유행국, 격리면제 제외"""	4	
society	"""감히 조직 비위를 까발려?"" 내부고발자 징계하겠다는 구례군"	4	
society	"""관광명소화"" vs. ""시대착오적""... 부산 황령산 개발 논란"	4	
society	"""국민연금, '미얀마 투자' 포스코에 적극적 주주권 행사해야"""	4	
society	"""대역 아니냐"" 몇 달 사이 얼굴 확 달라진 전두환, 혈액암이었다"	4	
society	"""대전시는 초고층 보문산 전망대 조성사업 중단하라"""	4	
society	"""도시재생 추진 통영 신아조선소 터 토영오염 심각, 정화해야"""	4	
society	"""람다 변이 유행국, 격리면제 제외여부 20일 발표"""	4	
society	"""루마니아 백신은 무상 아닌 물물교환...유효 기간도 11월 이후"""	4	
society	"""문재인 정부 민낯 드러났다"" 민주노총, 총파업 만장일치 결의"	4	
society	"""백신 인센티브가 무슨 소용"" 밤 9시 영업제한에 식당·카페 울분"	4	
society	"""부실 대학 낙인 어쩌나""… 인하대·용인대 ""기본역량진단 재평가 해야"""	4	
society	"""사유재산권 강탈""…커지는 공공재개발 반대 목소리"	4	
society	"""사회적 합의 뒤집은 기획재정부 문제 많다"""	4	
society	"""살짝 부딪혔는데 수백만 원""... 강남 아파트 경비원은 주차가 두렵다"	4	
society	"""새들 표적이었던 블루베리, 이 방법 썼더니 해결됐다"""	4	
society	"""서부내륙고속도로 건설보조금 증액 부결... 재검토해야"""	4	
society	"""서울지하철, 이대로 가면 9월 14일 멈춘다"""	4	
society	"""시민 빠진 행정"" 부산 황령산 개발 사업에 환경단체 '반발'"	4	
society	"""아빠찬스 허위보도로 명예훼손"" 소송낸 문희상 아들…1심 패소"	4	
society	"""악마의 편집에 당했다""…채널A '인터뷰 조작' 의혹[이슈시개]"	4	
society	"""안점순 할머니 잊지 않겠습니다"" 추모공간 내달 1일 개관"	4	
society	"""어린 소녀 아닌 호랑이... 사법부 바뀔 때까지 싸울 것"""	4	
