category	document	label
society	"오후 9시까지 1천306명, 어제보다 176명↓…23일 1천400명대 예상(종합)"	4
society	"오후 9시까지 1천482명, 어제보다 271명↓…22일 1천600명 안팎 예상(종합)"	4
society	"오후 9시까지 1천753명, 어제보다 17명↓…21일 2천명 안팎 예상(종합)"	4
society	오후 9시까지 서울 507명 확진…전날보다 49명↓	4
society	"온라인 학습법, 코로나19 시대 새 경향으로 자리 잡을까"	4
society	"올림픽 그 감동의 순간들, 답답했던 가슴이 ‘뻥’"	4
society	"올해 1~7월 임금체불 8천273억원, 작년보다 15.6%↓…추석앞 집중지도(종합)"	4
society	올해 1∼7월 임금 체불 8천273억원…작년보다 15.6% 감소	4
society	"올해 고용보험 3.2조 적자 예상... 정부, '보험료율 인상' 만지작"	4
society	"올해 고용보험 3조2천억원 적자 예상…정부 ""근본대책 곧 발표"""	4
society	올해 첫 말라리아 모기 출현…질병청 “모기물림 주의”	4
society	요란한 수레' 스텔스 간첩단 檢 송치…'공조수사' 성과는	4
society	용인 청년네트워트 출범…제2기 청년네트워크’발대식	4
society	"용인시, 누수 예방 위해 수도 시설물 전수 점검"	4
society	"용인시, 전국 ·경기도 문해교육 시화전서 우수 성과"	4
society	"울산 20대 여성, 연인 흉기로 찌른 뒤 투신…해당 남성도 결국 숨져"	4
society	"원주 집회 주도' 민주노총 간부 구속영장 기각…""도주우려 없어"""	4
society	월 1% 배당 검은 유혹 “평생 번데기 팔아 모은 1.5억 날렸다”	4
society	월·화 태풍 ‘오마이스’ 영향 강풍·폭우…8월 말까지 비	4
society	월수익 2000만원? 알바 면접보려던 시민에 딱 걸린 보이스피싱범	4
society	위중증 환자 420명 역대 최다...50대가 가장 많아	4
society	위중증환자 7개월만에 400명대…대전 중증환자 병상 ‘0’	4
society	"유덕열 동대문구청장 ""투서에 의한 조사…횡령 없어""(종합2보)"	4
society	"유덕열 동대문구청장 ""투서에 의한 조사"" 혐의 부인"	4
society	유병언 153억 증여세 소송···장녀 이겼는데 차녀는 졌다 왜	4
society	"유병언 증여세 153억 소송, 장녀는 이기고 차녀는 진 까닭은"	4
society	"유병언 큰딸 132억 증여세 소송서 승소…""공시송달 요건 미충족"""	4
society	"유은혜 ""2학기에 학교 문 더 연다…숙고 끝에 내린 결정"""	4
society	"유은혜 부총리, 내일 교육장 소집…등교 확대 준비 당부"	4
society	"유은혜, 내일 전국 교육장과 2학기 등교 준비 상황 논의"	4
society	"유치원, 초등 1·2년, 고3, 특수학교 ‘매일 등교’"	4
society	"윤석열 장모, 경찰에 “尹 X파일은 허위” 진술서 제출"	4
society	"윤한필 LX 부산울산지역본부장, 탈(脫) 플라스틱 실천 운동 ‘고고 챌린지’ 동참"	4
society	"은지원, 제주서 6인 모임 논란…“부주의 깊이 반성” [전문]"	4
society	음식물 쓰레기통서 고양이 울음소리…갓난아기가 울고 있었다	4
society	음식물쓰레기 처리 두고 동상이몽... 서울 서북3구 MOU 빨간불	4
society	음식에서 비닐 나오자 '별점 2점'…그 식당의 레전드 사과문	4
society	음식점·카페·유흥업소 방역체크 지속추진…1년여간 90만곳 점검	4
society	"의정부고생의 '유쾌한 반란'…국민 연례행사 된 졸업사진, 올해는"	4
society	"의협 “CCTV 설치법, 의료 후퇴시키는 잘못된 법안”…법적 대응 예고"	4
society	이경신 (주)세강 회장 함께해요 이삼부 동참	4
society	이금이 대표작 '너도 하늘말나리야 3부작' 개정판 출간	4
society	이낙연 “언론중재법 처리 문체위 결정 수용…언론신뢰 높여야”	4
society	"이성윤 고검장 측 ""김학의 출국금지·수사 개입 안했다"""	4
society	"이성윤, ‘김학의 수사외압’ 부인…“공소장 자체가 문제”"	4
